,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022,statewide_1998_mean,statewide_2019_mean,statewide_2022_mean,perc_natl_1998,perc_natl_2019,perc_natl_2022,delta_natl_1998,delta_natl_2019,delta_natl_2022
828,10001954,AL,STATE,7.337499916553497,-1.6625000834465027,15.1999998092651,7.70000004768372,7.34999990463257,16.066666666666666,7.825,7.599999999999999,-0.07145062002637634,-0.018595818333199895,-0.03619977740249409,3.070407972530404,0.978061272173516,0.4438774556529772
829,10001957,AL,STATE,7.850000023841858,-1.149999976158142,13.8999996185303,8.0,7.59999990463257,16.066666666666666,7.825,7.599999999999999,-0.17862654220355337,0.026034155597722933,-1.3809113482328899e-08,1.7704077817956048,1.2780612244897958,0.6938774556529772
830,10001960,NM,STATE,6.0,-3.0,6.40000009536743,5.40000009536743,5.90000009536743,6.25,4.875,5.891666666666667,0.012366458606888302,0.0781024809806575,0.0012066725955596912,-5.7295917413672655,-1.3219386801427744,-1.006122353612163
831,10001966,TX,STATE,6.225000023841858,-2.774999976158142,7.40000009536743,5.30000019073486,6.59999990463257,12.799999999999999,7.783333333333332,8.008333333333335,-0.44519221894001154,-0.3694370367736627,-0.20392534871849127,-4.7295917413672655,-1.4219385847753445,-0.3061225443470228
832,10001967,TX,STATE,6.4124999046325675,-2.5875000953674325,8.30000019073486,5.64999985694885,6.64999985694885,12.799999999999999,7.783333333333332,8.008333333333335,-0.3709935066105692,-0.31736877523442775,-0.19668540290437275,-3.8295916459998356,-1.0719389185613544,-0.25612259203074306
833,10001969,TX,STATE,6.52500009536743,-2.47499990463257,10.8999996185303,6.30000019073486,6.30000019073486,12.799999999999999,7.783333333333332,8.008333333333335,-0.1566417408799785,-0.22067043335810294,-0.24736502360320703,-1.2295922182043952,-0.4219385847753445,-0.6061222582447332
834,10001972,TX,FEDERAL,7.949999988079073,-1.0500000119209272,13.9500002861023,7.70000004768372,7.5,12.799999999999999,7.783333333333332,8.008333333333335,0.09480947929504965,-0.012397209857551396,-0.07360618597320742,1.820408449367605,0.978061272173516,0.5938775510204071
835,10001974,TX,FEDERAL,6.524999976158142,-2.475000023841858,7.19999980926514,6.09999990463257,7.09999990463257,12.799999999999999,7.783333333333332,8.008333333333335,-0.4616808435198251,-0.25042379660368075,-0.13152582153173006,-4.929592027469555,-0.6219388708776341,0.1938774556529772
836,10001975,TX,FEDERAL,6.587499976158142,-2.412500023841858,7.25,6.20000004768372,7.14999985694885,12.799999999999999,7.783333333333332,8.008333333333335,-0.45755867754689983,-0.23554711498089104,-0.12428587571761154,-4.879591836734695,-0.521938727826484,0.24387740796925694
837,10001977,TX,STATE,7.225000023841858,-1.774999976158142,12.1999998092651,7.19999980926514,7.09999990463257,12.799999999999999,7.783333333333332,8.008333333333335,-0.0494658187028015,-0.08678054703405362,-0.13152582153173006,0.0704079725304041,0.478061033754936,0.1938774556529772
