,FACILITYID,STATE,TYPE,pm25_2019_2022_mean,delta_from_naaqs,pm25_1998,pm25_2019,pm25_2022
276,10000569,CO,STATE,5.666666746139525,-3.3333332538604754,5.40000009536743,4.83333349227905,5.30000019073486
277,10000573,CO,STATE,4.950000047683715,-4.049999952316285,5.06666660308838,4.59999990463257,4.40000009536743
278,10000575,CO,STATE,5.218750089406965,-3.7812499105930346,5.87500011920929,4.80000007152557,4.77500009536743
279,10000576,CO,STATE,5.200000047683715,-3.799999952316285,5.85000014305115,4.75,4.75
280,10000577,CO,STATE,5.158333301544193,-3.841666698455807,5.90000009536743,4.73333326975505,4.73333326975505
281,10000578,CO,STATE,5.458333253860475,-3.5416667461395246,5.76666673024495,5.13333320617676,4.93333339691162
282,10000579,CO,FEDERAL,5.174999952316285,-3.825000047683715,6.19999980926514,4.69999980926514,4.69999980926514
283,10000580,CO,FEDERAL,5.149999976158142,-3.850000023841858,6.13333320617676,4.69999980926514,4.69999980926514
284,10000581,CO,FEDERAL,5.162499964237215,-3.837500035762785,6.19999980926514,4.69999980926514,4.69999980926514
285,10000582,CO,FEDERAL,5.149999976158142,-3.850000023841858,6.09999990463257,4.69999980926514,4.69999980926514
286,10000585,CO,STATE,4.437499910593033,-4.562500089406967,6.59999990463257,3.85000002384186,4.14999985694885
287,10000586,CO,STATE,5.899999976158143,-3.100000023841857,7.59999990463257,5.30000019073486,5.69999980926514
288,10000587,CO,STATE,6.024999976158142,-2.975000023841858,7.54999995231628,5.45000004768372,5.75
289,10000593,CO,STATE,4.137500107288361,-4.862499892711639,6.19999980926514,3.5,3.90000009536743
290,10000595,AZ,STATE,3.724999994039535,-5.2750000059604645,4.30000019073486,3.45000004768372,3.54999995231628
291,10000598,AZ,STATE,6.437499940395355,-2.5625000596046448,5.57499992847443,5.75,6.25
292,10000600,AZ,STATE,4.812499940395355,-4.187500059604645,3.70000004768372,4.14999985694885,4.5
293,10000601,AZ,FEDERAL,7.612500011920931,-1.3874999880790693,8.25,6.70000004768372,7.5
294,10000603,AZ,FEDERAL,7.725000023841858,-1.274999976158142,8.19999980926514,6.80000019073486,7.59999990463257
295,10000605,AZ,STATE,9.512500047683718,0.5125000476837176,16.8499994277954,8.60000038146973,9.54999971389771
